ID,X,Y
0,17,335
0,17,334
1,18,148
1,18,150
1,17,150
1,16,149
1,17,148
2,19,335
2,19,334
3,23,86
3,22,86
3,21,85
3,21,84
3,23,84
4,22,221
4,23,220
4,23,218
4,23,220
4,22,221
4,21,220
4,21,218
4,21,220
5,24,30
5,23,31
5,22,30
5,22,29
5,24,29
6,30,109
6,28,109
6,28,107
6,30,107
7,35,61
7,34,61
8,35,63
8,34,63
9,36,178
9,36,177
10,36,323
10,37,322
10,36,323
10,35,323
10,35,318
10,37,318
10,37,320
10,36,320
10,35,321
10,35,322
11,38,176
12,38,333
12,36,333
12,35,334
12,36,335
12,37,335
12,36,335
12,35,334
12,35,333
13,43,216
13,41,216
13,41,214
13,43,214
14,48,17
14,46,17
14,45,18
14,46,19
14,47,19
14,46,19
14,45,18
14,45,17
15,51,104
15,51,103
16,51,188
16,49,188
16,49,186
16,48,185
16,48,183
16,50,183
16,50,184
16,49,183
16,48,184
16,48,185
16,49,186
16,51,186
17,52,230
17,51,230
17,50,231
17,51,232
17,52,232
17,51,232
17,50,231
17,51,230
18,53,117
18,53,116
19,53,184
20,54,148
20,53,147
20,49,151
20,53,147
21,54,212
21,53,213
21,52,212
21,52,211
21,54,211
22,56,78
22,55,78
22,54,77
22,54,76
22,56,76
22,55,76
22,54,77
22,55,78
23,58,113
24,60,49
24,58,49
24,58,47
24,60,47
25,60,93
26,61,104
27,61,132
27,59,132
27,59,130
27,60,129
27,59,130
27,59,131
27,60,132
27,61,131
28,61,155
29,61,230
29,60,229
29,59,230
29,59,229
29,61,229
30,61,234
30,59,234
30,59,232
30,61,232
31,61,220
31,62,221
31,61,222
31,60,222
31,60,221
32,63,80
33,64,88
34,67,33
34,66,34
34,66,35
34,66,34
35,67,100
35,65,98
36,67,118
36,67,117
37,70,182
37,70,181
37,71,180
37,71,177
37,70,176
37,71,177
37,71,180
37,70,181
38,71,185
38,70,185
38,69,186
38,67,186
38,69,186
38,70,185
39,72,120
39,71,121
39,71,122
39,70,123
39,70,124
39,69,125
39,69,126
39,68,127
39,68,129
39,67,130
39,67,131
39,67,129
39,68,128
39,68,127
39,69,126
39,69,124
39,71,122
39,71,121
40,72,166
41,73,110
42,73,118
43,73,180
43,73,177
44,74,164
44,73,164
44,72,163
44,72,162
44,74,162
45,75,111
46,76,55
47,77,270
47,77,268
48,78,140
49,78,142
49,76,142
50,81,263
51,82,233
51,80,233
51,80,232
51,81,231
51,82,232
52,82,291
53,84,227
53,82,227
53,82,226
53,83,225
53,84,226
54,85,279
55,85,339
55,84,339
56,85,341
56,84,341
57,86,133
57,83,133
58,87,55
59,87,159
60,88,50
61,88,298
61,87,298
61,83,294
61,83,293
62,88,318
62,87,318
63,89,332
63,86,332
63,86,330
63,89,330
64,90,44
64,88,46
64,88,47
64,88,46
65,90,123
66,91,121
67,91,258
67,89,260
67,89,259
67,90,258
68,91,308
68,90,308
68,89,309
68,90,308
69,92,123
70,89,140
70,90,139
70,90,137
70,91,136
70,91,135
70,92,134
70,92,130
70,91,129
70,86,129
70,89,129
70,90,128
70,90,126
70,90,128
70,91,129
70,92,128
70,92,134
70,91,135
70,91,137
70,90,138
70,90,139
71,93,137
72,93,161
72,86,161
72,85,160
72,83,160
72,81,158
72,83,160
72,85,160
72,86,161
72,91,161
72,92,160
73,93,253
73,92,254
73,91,254
73,92,254
74,94,133
74,94,130
75,95,103
75,94,103
76,95,258
76,95,260
76,94,261
76,94,266
76,93,267
76,93,270
76,93,266
76,94,265
76,94,261
76,95,260
77,97,149
78,98,301
78,96,301
79,99,114
79,98,113
79,98,112
79,97,111
79,95,111
79,97,111
79,98,112
79,98,113
80,98,147
80,98,145
80,99,144
80,99,139
80,99,145
80,98,146
81,99,248
81,99,249
81,98,250
81,98,252
81,97,253
81,97,254
81,96,255
81,96,256
81,96,255
81,95,254
81,94,255
81,94,256
81,93,257
81,93,259
81,92,260
81,92,261
81,91,262
81,91,271
81,91,262
81,92,261
81,92,260
81,93,259
81,93,257
81,94,256
81,94,255
81,95,254
81,96,255
81,97,254
81,97,252
81,96,251
81,95,252
81,96,251
81,96,250
81,96,251
81,97,252
81,98,251
81,98,250
81,99,249
82,101,143
82,101,140
83,101,62
83,102,61
83,102,60
83,101,59
83,101,57
83,100,56
83,100,54
83,99,53
83,99,52
83,98,51
83,98,50
83,97,49
83,97,48
83,96,47
83,96,46
83,94,44
83,94,43
83,93,42
83,90,42
83,94,42
83,94,43
83,95,44
83,95,45
83,97,47
83,97,48
83,98,49
83,98,51
83,99,52
83,99,53
83,100,54
83,100,56
83,101,57
83,101,58
83,102,59
83,102,61
84,103,43
84,102,43
84,101,44
84,102,45
84,101,45
84,101,43
85,103,84
85,102,85
85,102,87
85,99,90
85,97,90
85,96,91
85,93,91
85,92,92
85,85,92
85,84,91
85,80,91
85,79,90
85,77,90
85,76,89
85,75,89
85,74,88
85,73,88
85,70,85
85,69,85
85,67,83
85,67,82
85,66,81
85,66,79
85,65,78
85,65,75
85,67,73
85,67,71
85,68,70
85,68,69
85,69,68
85,69,67
85,70,66
85,70,65
85,71,64
85,71,63
85,73,61
85,73,60
85,75,58
85,75,57
85,77,57
85,77,58
85,80,61
85,81,61
85,84,64
85,85,63
85,84,64
85,85,65
85,89,65
85,90,66
85,95,66
85,96,65
85,99,65
85,100,64
85,101,64
85,102,65
85,102,72
85,103,73
86,103,89
86,103,92
86,102,93
86,102,95
86,101,96
86,101,97
86,100,98
86,100,100
86,97,103
86,97,104
86,96,105
86,96,106
86,93,109
86,93,110
86,90,113
86,90,114
86,87,117
86,87,118
86,85,120
86,84,120
86,83,121
86,83,122
86,81,122
86,80,123
86,75,123
86,80,123
86,81,122
86,82,122
86,83,121
86,82,120
86,79,120
86,79,119
86,80,120
86,82,120
86,83,121
86,87,117
86,87,116
86,90,113
86,90,112
86,93,109
86,93,108
86,95,106
86,94,105
86,95,106
86,97,104
86,97,102
86,98,101
86,97,100
86,96,100
86,95,101
86,82,101
86,81,100
86,78,100
86,77,99
86,75,99
86,74,98
86,72,98
86,71,97
86,70,98
86,70,100
86,72,102
86,74,102
86,75,103
86,77,103
86,78,102
86,78,103
86,79,104
86,81,104
86,82,105
86,87,105
86,88,104
86,92,104
86,88,104
86,87,105
86,88,106
86,92,106
86,88,106
86,87,107
86,82,107
86,81,106
86,79,106
86,78,107
86,77,107
86,76,108
86,77,109
86,77,117
86,76,118
86,76,121
86,74,121
86,75,121
86,76,120
86,76,118
86,77,117
86,77,110
86,75,108
86,73,108
86,72,107
86,70,109
86,70,110
86,69,111
86,69,112
86,68,113
86,68,115
86,68,112
86,69,111
86,69,110
86,70,109
86,70,108
86,71,108
86,72,107
86,71,106
86,71,105
86,72,104
86,73,104
86,74,103
86,73,102
86,71,102
86,69,100
86,70,99
86,70,98
86,71,97
86,70,96
86,69,96
86,67,94
86,66,94
86,64,92
86,64,91
86,63,90
86,62,91
86,62,97
86,63,98
86,63,105
86,64,106
86,64,110
86,65,111
86,65,112
86,66,113
86,66,115
86,65,116
86,65,118
86,65,116
86,66,115
86,66,114
86,64,112
86,63,113
86,62,113
86,57,118
86,57,120
86,56,121
86,56,126
86,55,127
86,54,127
86,54,126
86,53,125
86,53,124
86,52,123
86,52,121
86,51,120
86,51,119
86,50,118
86,50,116
86,49,115
86,49,111
86,48,110
86,48,109
86,49,108
86,49,103
86,49,108
86,48,109
86,48,110
86,49,111
86,49,115
86,50,116
86,50,118
86,51,119
86,51,120
86,52,121
86,53,120
86,52,121
86,52,123
86,53,124
86,53,125
86,55,127
86,56,126
86,56,121
86,55,120
86,55,118
86,55,120
86,56,121
86,57,120
86,57,117
86,61,113
86,63,113
86,64,112
86,63,111
86,61,111
86,63,111
86,64,110
86,64,106
86,63,105
86,62,106
86,62,108
86,62,106
86,63,105
86,63,98
86,62,97
86,62,96
86,61,95
86,59,95
86,61,95
86,62,94
86,62,90
86,64,90
86,64,91
86,67,94
86,68,94
86,70,96
86,71,96
86,72,97
86,73,96
86,72,97
86,73,98
86,74,98
86,75,99
86,77,99
86,78,100
86,81,100
86,82,101
86,95,101
86,96,100
86,95,99
86,90,99
86,95,99
86,96,100
86,97,100
86,98,101
86,100,99
86,99,98
86,98,98
86,100,98
86,101,97
86,101,96
86,102,95
86,102,93
86,103,92
87,103,180
87,101,182
88,104,146
89,109,43
89,107,43
89,107,40
89,109,40
90,109,243
90,106,246
90,106,248
90,105,249
90,105,251
90,104,252
90,104,262
90,104,251
90,103,250
90,103,249
90,102,248
90,101,249
90,101,251
90,102,252
90,102,263
90,102,252
90,101,251
90,100,252
90,100,253
90,99,254
90,100,253
90,100,252
90,101,251
90,101,249
90,102,248
90,105,248
90,106,247
90,106,245
90,107,244
90,108,244
91,110,301
91,109,301
91,109,300
92,104,112
92,105,123
92,101,132
92,106,136
92,107,144
92,102,153
92,100,153
92,98,155
92,100,156
92,101,155
92,98,157
92,90,158
92,94,158
92,95,157
92,94,156
92,86,155
92,85,156
